Product_ID,Product_Name,Category,Price,Units_Sold,Revenue,Competitor_Name,Market_Share_%,Marketing_Strategy,Top_Social_Media,Current_Trends,Customer_Rating
1,Dining Table,Furniture,560.74,3102,52510.36,Habitat,5.51,Discounts,Instagram,Sustainable,3.7
2,Curtains,Textiles,799.98,3556,97807.28,Arhaus,10.8,Exclusive collections,Pinterest,Vintage,1.6
3,Coffee Table,Furniture,848.72,1354,112496.6,Havertys,5.63,Discounts,Twitter,Tech Integration,1.5
4,Serving Tray,Kitchenware,242.75,170,297351.39,Amazon Basics,3.74,Free shipping,YouTube,Bold Colors,3.4
5,Canvas Painting,Wall Art,815.35,2417,62670.91,Blu Dot,8.73,Eco-friendly products,Instagram,Tech Integration,3.4
6,Dining Table,Furniture,294.5,656,377881.5,West Elm,3.25,Free shipping,Twitter,Maximalism,2.0
7,Framed Print,Wall Art,644.89,2887,216588.56,Pottery Barn,14.18,Exclusive collections,Pinterest,Maximalism,3.7
8,Canvas Painting,Wall Art,706.45,1380,466652.73,Urban Outfitters,13.6,Seasonal sales,Twitter,Sustainable,4.8
9,Table Lamp,Lighting,94.01,4475,300279.91,Article,4.12,Discounts,Instagram,Vintage,3.4
10,Serving Tray,Kitchenware,13.91,667,141081.02,Bob’s Discount Furniture,7.06,Free shipping,Pinterest,Sustainable,4.9
11,Floor Lamp,Lighting,41.75,1878,14993.47,Overstock,4.11,Exclusive collections,Instagram,Maximalism,2.8
12,Table Lamp,Lighting,860.16,2334,437568.19,Etsy,1.56,Custom designs,Facebook,Tech Integration,1.6
13,Curtains,Textiles,385.22,2351,295853.21,Anthropologie,6.28,Custom designs,Pinterest,Maximalism,2.4
14,Dining Table,Furniture,943.62,4211,419513.06,Overstock,9.27,Seasonal sales,Facebook,Sustainable,4.5
15,Storage Jar,Kitchenware,116.1,3191,329991.35,Blu Dot,8.97,Exclusive collections,Pinterest,Tech Integration,1.9
16,Sofa Set,Furniture,563.79,4591,155581.17,Made.com,12.81,Free shipping,Twitter,Minimalism,1.7
17,Bedspread,Textiles,402.44,151,97563.37,LuxDeco,15.0,Custom designs,Instagram,Minimalism,1.0
18,Metal Wall Art,Wall Art,840.56,345,418439.32,Article,13.04,Seasonal sales,Instagram,Minimalism,4.7
19,Floor Lamp,Lighting,248.33,1432,327694.83,Havertys,8.46,Discounts,Facebook,Minimalism,2.1
20,Poster,Wall Art,71.02,2023,467907.89,Amazon Basics,12.57,Custom designs,Pinterest,Tech Integration,3.7
21,Serving Tray,Kitchenware,686.1,118,46867.81,Design Within Reach,4.52,Exclusive collections,Pinterest,Minimalism,2.1
22,Dinnerware,Kitchenware,128.11,4549,490723.44,Habitat,6.82,Eco-friendly products,Instagram,Maximalism,2.0
23,Bookshelf,Furniture,568.9,1927,353225.06,Swoon,2.46,Custom designs,YouTube,Tech Integration,3.7
24,Bedspread,Textiles,361.7,2985,388672.82,AllModern,3.31,Free shipping,YouTube,Maximalism,4.7
25,Chandelier,Lighting,563.94,2382,282130.02,RH (Restoration Hardware),3.41,Exclusive collections,YouTube,Sustainable,4.8
26,Cushion Cover,Textiles,480.28,3834,127466.3,Habitat,12.73,Custom designs,Facebook,Bold Colors,1.3
27,Candle Holder,Decor Accessories,727.9,397,45816.03,Bob’s Discount Furniture,8.27,Free shipping,Twitter,Sustainable,2.9
28,Chandelier,Lighting,640.93,3208,183990.33,AllModern,13.23,Eco-friendly products,Twitter,Minimalism,2.7
29,Cookware,Kitchenware,963.65,646,364801.82,Havertys,4.23,Seasonal sales,Twitter,Sustainable,1.7
30,Wardrobe,Furniture,594.28,2300,181083.34,Article,2.32,Exclusive collections,Facebook,Sustainable,4.3
31,Area Rug,Textiles,486.65,3924,479052.57,Pier 1 Imports,9.52,Exclusive collections,YouTube,Tech Integration,3.1
32,Candle Holder,Decor Accessories,76.67,709,24023.44,Pottery Barn,4.63,Exclusive collections,Twitter,Vintage,4.8
33,Candle Holder,Decor Accessories,901.2,4933,140178.92,Serena & Lily,10.97,Eco-friendly products,Instagram,Minimalism,3.4
34,Metal Wall Art,Wall Art,650.23,4186,316992.86,Herman Miller,8.75,Eco-friendly products,Twitter,Minimalism,2.5
35,Pendant Lamp,Lighting,596.52,3193,104397.57,Value City Furniture,7.76,Seasonal sales,Pinterest,Minimalism,3.4
36,Candle Holder,Decor Accessories,900.38,4285,52879.73,Value City Furniture,8.11,Eco-friendly products,Twitter,Minimalism,1.0
37,Tapestry,Wall Art,679.0,1505,324663.35,West Elm,8.4,Eco-friendly products,Facebook,Tech Integration,3.7
38,Vase,Decor Accessories,599.08,4040,92755.06,Jonathan Adler,1.08,Custom designs,Pinterest,Sustainable,1.2
39,Storage Jar,Kitchenware,660.01,3185,168385.78,Pier 1 Imports,12.86,Eco-friendly products,Twitter,Bold Colors,1.6
40,Curtains,Textiles,140.34,2185,240059.97,Bob’s Discount Furniture,2.85,Discounts,Instagram,Vintage,2.8
41,Bedspread,Textiles,151.42,3584,260382.43,Joybird,5.6,Eco-friendly products,Twitter,Maximalism,1.2
42,Canvas Painting,Wall Art,24.38,4837,111104.12,Made.com,9.47,Custom designs,YouTube,Tech Integration,4.8
43,Chandelier,Lighting,159.87,1745,104841.73,BoConcept,5.73,Discounts,Pinterest,Vintage,1.7
44,Framed Print,Wall Art,213.62,2418,479633.03,World Market,11.75,Exclusive collections,Pinterest,Minimalism,2.8
45,Area Rug,Textiles,674.11,3060,64871.09,IKEA,10.74,Custom designs,Pinterest,Maximalism,4.6
46,Picture Frame,Decor Accessories,995.01,4400,279955.55,Ligne Roset,2.95,Exclusive collections,Pinterest,Vintage,2.9
47,Curtains,Textiles,171.87,4057,185862.94,Crate & Barrel,6.94,Seasonal sales,YouTube,Tech Integration,1.9
48,Serving Tray,Kitchenware,285.4,2112,31204.05,Etsy,5.84,Discounts,YouTube,Tech Integration,4.8
49,Framed Print,Wall Art,853.02,1381,40527.56,Loaf,14.4,Free shipping,Instagram,Sustainable,2.3
50,Sculpture,Decor Accessories,748.88,3105,104762.09,Etsy,10.39,Free shipping,Twitter,Vintage,1.1
51,Bookshelf,Furniture,856.66,2019,355826.09,Bob’s Discount Furniture,12.39,Seasonal sales,Pinterest,Sustainable,2.9
52,Clock,Decor Accessories,17.04,3555,251571.18,Joybird,5.19,Eco-friendly products,Facebook,Bold Colors,2.8
53,Throw Blanket,Textiles,250.04,4605,184622.29,Williams-Sonoma,2.51,Custom designs,YouTube,Sustainable,2.4
54,Floor Lamp,Lighting,485.02,2474,399770.56,Herman Miller,5.42,Exclusive collections,Twitter,Bold Colors,4.3
55,Cookware,Kitchenware,200.61,4404,45836.76,Home Depot,11.94,Free shipping,YouTube,Maximalism,2.8
56,Cushion Cover,Textiles,553.95,2656,265512.64,Target,13.41,Seasonal sales,YouTube,Vintage,2.3
57,Canvas Painting,Wall Art,372.1,1171,459565.03,Serena & Lily,8.68,Free shipping,Pinterest,Sustainable,3.2
58,Cookware,Kitchenware,862.25,948,383116.11,Crate & Barrel,1.97,Discounts,Twitter,Bold Colors,2.9
59,Candle Holder,Decor Accessories,83.77,2376,371351.18,Habitat,14.74,Exclusive collections,Instagram,Tech Integration,3.2
60,Wardrobe,Furniture,174.57,3959,369826.78,Houzz,9.0,Exclusive collections,Facebook,Vintage,1.1
61,Vase,Decor Accessories,576.06,812,118979.69,Living Spaces,5.22,Discounts,Pinterest,Vintage,1.3
62,Area Rug,Textiles,394.33,2673,169015.31,Amazon Basics,5.92,Discounts,Facebook,Minimalism,1.8
63,Table Lamp,Lighting,288.89,1474,239002.81,Ligne Roset,1.66,Seasonal sales,Pinterest,Minimalism,1.2
64,Metal Wall Art,Wall Art,935.83,3810,422278.73,Made.com,2.98,Eco-friendly products,Pinterest,Maximalism,4.2
65,Serving Tray,Kitchenware,92.53,3885,454488.49,Herman Miller,5.55,Free shipping,Twitter,Bold Colors,1.7
66,Framed Print,Wall Art,728.17,3903,482310.91,Zara Home,3.66,Free shipping,Twitter,Sustainable,3.3
67,Serving Tray,Kitchenware,679.81,2930,196086.88,Pier 1 Imports,14.64,Custom designs,Twitter,Vintage,4.4
68,Wall Sconce,Lighting,727.7,953,100792.96,Value City Furniture,2.34,Discounts,Pinterest,Maximalism,1.0
69,Table Lamp,Lighting,726.91,830,172206.41,Havertys,10.28,Exclusive collections,YouTube,Bold Colors,5.0
70,Sofa Set,Furniture,736.14,2759,311886.4,Crate & Barrel,7.79,Exclusive collections,Twitter,Tech Integration,1.2
71,Area Rug,Textiles,934.28,4918,216191.28,AllModern,13.01,Exclusive collections,Facebook,Vintage,4.8
72,Storage Jar,Kitchenware,232.64,2624,451364.1,Kirkland’s,13.7,Custom designs,Facebook,Vintage,2.9
73,Framed Print,Wall Art,790.65,1911,40464.07,West Elm,2.6,Custom designs,Facebook,Maximalism,2.8
74,Cushion Cover,Textiles,746.67,4632,358302.99,Williams-Sonoma,12.67,Eco-friendly products,Instagram,Tech Integration,2.4
75,Tapestry,Wall Art,611.92,4326,19419.51,La-Z-Boy,10.36,Custom designs,Facebook,Tech Integration,4.6
76,Poster,Wall Art,201.21,1253,262614.07,Loaf,11.27,Custom designs,YouTube,Vintage,4.4
77,Cookware,Kitchenware,10.89,4311,451394.8,Etsy,6.76,Discounts,Instagram,Tech Integration,4.2
78,Bedspread,Textiles,717.83,514,320165.85,Etsy,3.08,Eco-friendly products,Twitter,Vintage,1.6
79,Table Lamp,Lighting,65.15,1786,124168.69,Studio McGee,1.11,Discounts,Pinterest,Tech Integration,3.0
80,Chandelier,Lighting,512.69,1070,478510.87,West Elm,13.19,Discounts,Instagram,Sustainable,3.8
81,Bedspread,Textiles,414.83,2936,355190.42,Houzz,11.76,Seasonal sales,Twitter,Bold Colors,2.6
